car_price,manufacturing_year,company,model,condition,cylinders,fuel,dist_reading,title_status,transmission,VIN,drive,size,car_type,color,image_url,county,state,lat,long,posting_date
18590,2018,honda,civic lx sedan 4d,good,,gas,28942,clean,other,19XFC2F59JE206832,fwd,,sedan,white,https://images.craigslist.org/00H0H_b24A2x1GzuIz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-24T08:52:24-0500
29590,2017,ford,expedition xlt sport,good,6 cylinders,gas,70760,clean,other,1FMJU1JT1HEA52352,4wd,,SUV,blue,https://images.craigslist.org/00D0D_aqVh7XGmJcQz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-24T08:52:07-0500
21590,2018,honda,civic ex sedan 4d,good,,gas,7885,clean,other,2HGFC2F74JH589649,fwd,,sedan,,https://images.craigslist.org/01212_6fkPQp1iO8Vz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-24T08:52:03-0500
22590,2013,ford,f150 super cab xl pickup 4d,good,6 cylinders,other,14169,clean,other,1FTEX1CMXDFB16329,,,pickup,silver,https://images.craigslist.org/00909_lPs0VlcaPt1z_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-23T11:41:07-0500
33990,2020,jeep,wrangler sport suv 2d,good,6 cylinders,gas,9859,clean,other,1C4GJXAG9LW193038,4wd,,other,,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-23T10:10:54-0500
29990,2012,toyota,tacoma double cab pickup,good,6 cylinders,gas,43182,clean,other,3TMLU4EN4CM085701,4wd,,pickup,white,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-23T09:30:51-0500
37590,2019,ford,f150 supercrew cab xl,good,6 cylinders,gas,8663,clean,other,1FTEW1CP2KKC65268,,,pickup,,https://images.craigslist.org/00606_eM2dJpJOQb4z_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-23T09:01:04-0500
25990,2015,lexus,nx 300h sport utility 4d,good,,other,55783,clean,other,JTJBJRBZ8F2020836,,,hatchback,white,https://images.craigslist.org/00A0A_9vcBp3KCtfrz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-22T11:51:00-0500
32990,2018,jaguar,e-pace p250 s sport,good,,other,26685,clean,other,SADFJ2FX1J1Z13468,,,other,white,https://images.craigslist.org/00D0D_kXXKf971SK1z_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-22T10:21:14-0500
28990,2020,buick,encore gx essence sport,good,,gas,21,clean,other,KL4MMGSL4LB128069,,,other,white,https://images.craigslist.org/00a0a_7ojpNN3PG0Rz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-22T09:01:26-0500
34990,2020,lexus,nx 300 sport utility 4d,good,,gas,1722,clean,other,JTJAARBZ1L2159357,fwd,,hatchback,black,https://images.craigslist.org/01616_iKuyyqnuqsTz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-22T08:51:28-0500
3000,2004,chrysler,town & country,good,6 cylinders,gas,176144,clean,automatic,,fwd,mid-size,mini-van,silver,https://images.craigslist.org/00w0w_fF0N3jP3NHaz_0ww0oo_600x450.jpg,,al,32.629409,-85.484447,2021-04-21T19:26:56-0500
22590,2016,volvo,s60 t5 cross country,good,,gas,42755,clean,other,YV4612UMXG2000759,,,sedan,,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-21T11:30:50-0500
36990,2019,volvo,s60 t6 inscription sedan,good,,gas,8141,clean,other,7JRA22TL6KG004114,,,sedan,white,https://images.craigslist.org/00t0t_g9uumYEAhboz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-21T10:11:01-0500
31990,2020,volvo,s60 t5 momentum sedan 4d,good,,gas,16594,clean,other,7JR102FK7LG060315,fwd,,sedan,,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-21T09:30:56-0500
28590,2019,volvo,s60 t5 momentum sedan 4d,good,,gas,18531,clean,other,7JR102FK4KG010003,fwd,,sedan,black,https://images.craigslist.org/01010_kI12XbB47pHz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-21T08:30:57-0500
31990,2018,audi,q5 premium sport utility 4d,good,,gas,19179,clean,other,WA1ANAFY7J2102310,,,other,,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-20T11:51:17-0500
19990,2015,infiniti,qx60 3.5 sport utility,good,,other,96003,clean,other,5N1AL0MM5FC519184,,,SUV,silver,https://images.craigslist.org/00G0G_bKKk9z0UP0Gz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-20T10:41:08-0500
29590,2017,lincoln,continental select sedan,good,6 cylinders,gas,35320,clean,other,1LN6L9TP6H5634048,,,sedan,black,https://images.craigslist.org/01616_7CkTL4cGX9rz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-20T10:40:55-0500
29990,2018,alfa-romeo,romeo stelvio ti sport,good,,other,26978,clean,other,ZASFAKBN3J7B64774,,,hatchback,,https://images.craigslist.org/00m0m_7TnPZUTuoPvz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-20T10:41:04-0500
2100,2006,subaru,impreza,fair,4 cylinders,gas,97000,clean,automatic,,,,hatchback,,https://images.craigslist.org/00606_6sZwmmrJ9rKz_0lM0t2_600x450.jpg,,al,32.5475,-85.4682,2021-04-20T09:55:48-0500
80,2004,honda,,excellent,6 cylinders,gas,94020,clean,automatic,,,,,,https://images.craigslist.org/00p0p_awopHVeMR83z_0c6094_600x450.jpg,,al,32.8113,-85.1749,2021-04-19T12:55:06-0500
15990,2016,,Scion iM Hatchback 4D,good,,gas,29652,clean,other,JTNKARJEXGJ517925,fwd,,hatchback,blue,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-19T10:51:13-0500
20590,2013,acura,mdx sport utility 4d,good,6 cylinders,gas,77087,clean,other,2HNYD2H30DH510846,,,other,silver,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-19T10:50:57-0500
29590,2018,audi,a6 2.0t premium sedan 4d,good,,gas,13035,clean,other,WAUC8AFC6JN041814,fwd,,sedan,,https://images.craigslist.org/00K0K_dtlyDZgN926z_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-19T09:51:14-0500
16590,2015,hyundai,sonata sport sedan 4d,good,,gas,26655,clean,other,5NPE34AF8FH021634,fwd,,sedan,white,https://images.craigslist.org/00d0d_65wNCfzhbwqz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-19T08:51:14-0500
12990,1968,volvo,,,,gas,99999,clean,manual,,,,,,https://images.craigslist.org/00b0b_55DC13BpVqIz_0CI0ms_600x450.jpg,,al,32.6454,-85.3783,2021-04-19T07:46:40-0500
33990,2017,ram,1500 crew cab tradesman,good,8 cylinders,gas,17033,clean,other,3C6RR7KT7HG794054,4wd,,pickup,blue,https://images.craigslist.org/00Y0Y_jRbwm0dSjSUz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-18T11:21:37-0500
36590,2019,gmc,sierra 1500 limited double,good,8 cylinders,gas,14222,clean,other,2GTV2LECXK1123316,4wd,,pickup,blue,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,32.59,-85.48,2021-04-18T11:21:35-0500
