url,region,region_url,price,year,manufacturer,model,condition,fuel,odometer,transmission,drive,size,type,paint_color,image_url,county,state,lat,long,posting_date
https://montgomery.craigslist.org/ctd/d/montgomery-2014-toyota-tacoma-access/7312402834.html,montgomery,https://montgomery.craigslist.org,27990,2014,toyota,tacoma access cab pickup,good,other,17805,other,,,pickup,red,https://images.craigslist.org/00X0X_1cMDo5xqSuAz_0gw0co_600x450.jpg,,al,32.35,-86.28,2021-04-25T12:31:07-0500
https://montgomery.craigslist.org/ctd/d/montgomery-2015-vw-volkswagen-golf-tdi/7312375277.html,montgomery,https://montgomery.craigslist.org,17990,2015,volkswagen,golf tdi sel,good,diesel,51482,other,fwd,,sedan,white,https://images.craigslist.org/00000_KNY0kE0TqAz_0gw0co_600x450.jpg,,al,32.35,-86.28,2021-04-25T11:41:18-0500
https://montgomery.craigslist.org/ctd/d/montgomery-2015-ford-mustang-gt-premium/7312375061.html,montgomery,https://montgomery.craigslist.org,35990,2015,ford,mustang gt premium coupe 2d,good,gas,4899,other,rwd,,coupe,red,https://images.craigslist.org/00x0x_1R1EaWTzIgsz_0gw0co_600x450.jpg,,al,32.35,-86.28,2021-04-25T11:40:57-0500
https://montgomery.craigslist.org/ctd/d/montgomery-2011-chevy-chevrolet/7312318411.html,montgomery,https://montgomery.craigslist.org,38590,2011,chevrolet,corvette grand sport,good,gas,30237,other,rwd,,other,red,https://images.craigslist.org/00U0U_kKYnS1LWh82z_0gw0co_600x450.jpg,,al,32.35,-86.28,2021-04-25T09:51:28-0500
https://montgomery.craigslist.org/ctd/d/montgomery-2017-jeep-wrangler-unlimited/7312318406.html,montgomery,https://montgomery.craigslist.org,38990,2017,jeep,wrangler unlimited rubicon,good,gas,20676,other,4wd,,other,red,https://images.craigslist.org/01212_59EilBaTKT6z_0gw0co_600x450.jpg,,al,32.35,-86.28,2021-04-25T09:51:28-0500
https://montgomery.craigslist.org/ctd/d/montgomery-2012-vw-volkswagen-touareg/7312273975.html,montgomery,https://montgomery.craigslist.org,17990,2012,volkswagen,touareg tdi sport suv,good,gas,93185,other,,,other,white,https://images.craigslist.org/00A0A_caXUHmxKPZQz_0gw0co_600x450.jpg,,al,32.35,-86.28,2021-04-25T07:51:16-0500
https://montgomery.craigslist.org/cto/d/west-point-1999-blue-bird-bus/7312194649.html,montgomery,https://montgomery.craigslist.org,5500,1999,,blue bird bus,excellent,diesel,220000,automatic,rwd,full-size,bus,yellow,https://images.craigslist.org/00202_2YCCpC3Kvkwz_0pO0jm_600x450.jpg,,al,32.8337,-85.1197,2021-04-24T21:21:14-0500
https://montgomery.craigslist.org/cto/d/west-point-2005-blue-bird-bus/7312183805.html,montgomery,https://montgomery.craigslist.org,6800,2005,,blue bird bus,excellent,diesel,180000,automatic,rwd,,bus,yellow,https://images.craigslist.org/00000_842WZ3ZO6Nfz_0CI0t2_600x450.jpg,,al,32.8337,-85.1197,2021-04-24T20:38:46-0500
https://montgomery.craigslist.org/ctd/d/oak-grove-2011-ford-450-shuttle-party/7312165643.html,montgomery,https://montgomery.craigslist.org,22950,2011,ford,e-450,excellent,gas,64351,automatic,rwd,,bus,,https://images.craigslist.org/00e0e_1K9eiZMb870z_0CI0t2_600x450.jpg,,al,38.9985,-94.1399,2021-04-24T19:38:53-0500
https://montgomery.craigslist.org/ctd/d/oak-grove-2013-freightliner-m2-106/7312162311.html,montgomery,https://montgomery.craigslist.org,39950,2013,,Freightliner M2 106,excellent,diesel,223131,automatic,rwd,,truck,,https://images.craigslist.org/00A0A_lCc7hYpyvdcz_0CI0t2_600x450.jpg,,al,38.9985,-94.1399,2021-04-24T19:28:35-0500
