url,region,region_url,ask_price,year_of_manufacturing,manufacturer,model,condition,cylinders,fuel,odometer_reading,title_status,transmission,VIN,drive,type,shade,posting_date
https://anchorage.craigslist.org/ctd/d/anchorage-2019-jeep-grand-cherokee/7311346610.html,anchorage / mat-su,https://anchorage.craigslist.org,35988,2019,jeep,grand cherokee limited automatic,,,gas,28715,clean,automatic,1C4RJFBG1KC708924,4wd,SUV,white,2021-04-23T07:03:01-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2019-jeep-wrangler-unlimited/7311346733.html,anchorage / mat-su,https://anchorage.craigslist.org,43988,2019,jeep,wrangler unlimited sahara automatic,,,gas,27951,clean,automatic,1C4HJXEG8KW590091,4wd,SUV,silver,2021-04-23T07:03:13-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-chevrolet-silverado-1500/7311224817.html,anchorage / mat-su,https://anchorage.craigslist.org,34995,2014,chevrolet,silverado 1500,like new,8 cylinders,gas,61100,clean,automatic,3GCUKSEC1EG421691,4wd,truck,brown,2021-04-22T21:39:42-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-toyota-camry-se-great/7311224726.html,anchorage / mat-su,https://anchorage.craigslist.org,17995,2014,toyota,camry se 4dr sedan,excellent,4 cylinders,gas,35563,clean,automatic,4T1BF1FK1EU808617,fwd,sedan,red,2021-04-22T21:39:02-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-dodge-ram-2500-power/7311224719.html,anchorage / mat-su,https://anchorage.craigslist.org,39995,2014,ram,2500 power wagon,excellent,8 cylinders,gas,120673,clean,automatic,3C6TR5EJ4EG265760,4wd,offroad,white,2021-04-22T21:39:01-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2001-ford-f250-super-duty-xlt/7311224585.html,anchorage / mat-su,https://anchorage.craigslist.org,14995,2001,ford,f250 super duty,like new,10 cylinders,gas,77075,clean,automatic,3FTNW21S71MA59318,4wd,truck,black,2021-04-22T21:37:57-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2003-volkswagen-gls-eurovan/7311224582.html,anchorage / mat-su,https://anchorage.craigslist.org,16995,2003,volkswagen,eurovan gls,excellent,6 cylinders,gas,155477,clean,automatic,WV2KB47043H036782,fwd,van,red,2021-04-22T21:37:54-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2004-ford-250-harley-davidson/7311224518.html,anchorage / mat-su,https://anchorage.craigslist.org,19995,2004,harley-davidson,davidson,excellent,8 cylinders,diesel,147939,clean,automatic,1FTNW21P24EB69974,4wd,truck,black,2021-04-22T21:37:26-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2010-nissan-frontier-crew-cab/7311224458.html,anchorage / mat-su,https://anchorage.craigslist.org,16995,2010,nissan,frontier se 4x4,excellent,6 cylinders,gas,92057,clean,automatic,1N6AD0EV3AC428011,4wd,pickup,grey,2021-04-22T21:36:53-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2012-ram-2500-laramie/7311224454.html,anchorage / mat-su,https://anchorage.craigslist.org,34995,2012,ram,2500 laramie longhorn,like new,6 cylinders,diesel,165093,clean,automatic,3C6UD5GL4CG131717,4wd,truck,white,2021-04-22T21:36:51-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2012-chevrolet-malibu-24l-i4/7311224448.html,anchorage / mat-su,https://anchorage.craigslist.org,9995,2012,chevrolet,malibu,like new,4 cylinders,gas,51703,clean,automatic,1G1ZC5E04CF196250,fwd,sedan,brown,2021-04-22T21:36:50-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2013-ram-2500-cummins-4x4-67l/7311224319.html,anchorage / mat-su,https://anchorage.craigslist.org,37995,2013,ram,cummins,like new,6 cylinders,diesel,131674,clean,manual,3C6UR5HL2DG520759,4wd,truck,silver,2021-04-22T21:35:36-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2013-ford-f150-35l-twin-turbo/7311224315.html,anchorage / mat-su,https://anchorage.craigslist.org,31995,2013,ford,f150 lariat ecoboost 4wd,like new,6 cylinders,gas,64883,clean,automatic,1FTFW1ET9DKD80306,4wd,truck,black,2021-04-22T21:35:34-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-chevrolet-traverse-36l/7311223333.html,anchorage / mat-su,https://anchorage.craigslist.org,18995,2014,chevrolet,trailblazer ls,like new,6 cylinders,gas,54157,clean,automatic,1GNKVFED1EJ252695,4wd,SUV,grey,2021-04-22T21:27:21-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-gmc-sierra-denali-v8-4x4/7311223193.html,anchorage / mat-su,https://anchorage.craigslist.org,36995,2014,gmc,sierra 1500 denali,like new,8 cylinders,gas,130302,clean,automatic,3GTU2WEJXEG530544,4wd,truck,grey,2021-04-22T21:26:25-0800
