id,price,manufacturingyear,company,model,condition,cylinders,fuel,dist_reading,title_status,transmission,VIN,drive,size,type,ptcolor,county,state,posting_date
7315070694,29999,2016,ford,transit xlt,excellent,6 cylinders,gas,40717,clean,automatic,1FBZX2ZM9GKB11878,rwd,full-size,mini-van,white,,ak,2021-04-30T14:39:12-0800
7315067602,15000,1972,chevrolet,el camino,good,8 cylinders,gas,80000,clean,automatic,1080J2L576491,rwd,full-size,truck,white,,ak,2021-04-30T14:32:21-0800
7315064330,29995,1980,pontiac,trans am,,,gas,23179,clean,automatic,2W87WAL148762,,,other,black,,ak,2021-04-30T14:25:31-0800
7315061705,21500,2015,acura,rdx,like new,6 cylinders,gas,30800,clean,automatic,,4wd,,SUV,grey,,ak,2021-04-30T14:19:55-0800
7315058212,64000,2021,ford,f250 super duty,like new,8 cylinders,diesel,5000,clean,automatic,,4wd,full-size,truck,grey,,ak,2021-04-30T14:12:45-0800
7315058185,3900,2002,ford,explorer,,,gas,192000,clean,automatic,,,,,,,ak,2021-04-30T14:12:41-0800
7315057573,700,1998,,ISUZU AMIGO,good,4 cylinders,gas,123,missing,manual,,4wd,,,,,ak,2021-04-30T14:11:25-0800
7315057157,30995,2014,chevrolet,silverado,,,other,95321,clean,automatic,3GCUKSEC8EG284135,4wd,,pickup,,,ak,2021-04-30T14:10:38-0800
7315053636,0,2008,ford,f450 super duty crew cab,,8 cylinders,diesel,123249,clean,automatic,1FTXW43R28ED03018,4wd,,pickup,white,,ak,2021-04-30T14:03:36-0800
7315049444,29995,2012,ford,f-550,,,diesel,118754,clean,,1FD0W5HT4CEA82778,4wd,,other,white,,ak,2021-04-30T13:55:32-0800
7315045122,1200,2003,ford,explorer,fair,,gas,200000,clean,automatic,,4wd,,,,,ak,2021-04-30T13:46:53-0800
7315041989,23995,2013,chevrolet,silverado,,,gas,98238,clean,automatic,1GC1KVCG2DF148822,4wd,,pickup,white,,ak,2021-04-30T13:40:37-0800
7315034698,23995,2009,chevrolet,silverado,,,diesel,87648,clean,automatic,1GCHK43679F101132,4wd,,pickup,white,,ak,2021-04-30T13:26:21-0800
7315029189,15999,2018,hyundai,,excellent,4 cylinders,gas,58600,rebuilt,automatic,KM8K5CA58JU090249,4wd,sub-compact,hatchback,blue,,ak,2021-04-30T13:15:39-0800
7315026440,18995,2011,ford,transit connect,,,other,125722,clean,,1FDSS3BL4BDB15327,,,other,white,,ak,2021-04-30T13:10:31-0800
7315024759,3500,2007,chrysler,pacifica touring,,,gas,116000,clean,automatic,,,,,,,ak,2021-04-30T13:07:10-0800
7315024257,22988,2017,chevrolet,malibu premier automatic,,,gas,29178,clean,automatic,1G1ZH5SX4HF287982,fwd,,sedan,black,,ak,2021-04-30T13:06:11-0800
7315023402,12991,2016,kia,forte,,4 cylinders,gas,55529,clean,automatic,KNAFK4A63G5614632,fwd,,sedan,black,,ak,2021-04-30T13:04:39-0800
7315023093,23999,2008,toyota,tundra double cab,,8 cylinders,gas,125895,clean,automatic,5TFBV54108X055125,4wd,,pickup,silver,,ak,2021-04-30T13:04:05-0800
7315023061,18499,2008,gmc,sierra 1500 crew cab,,8 cylinders,gas,149244,clean,automatic,2GTFK13Y181234868,4wd,,pickup,silver,,ak,2021-04-30T13:04:01-0800
7315022958,20999,2008,chevrolet,silverado 1500,,8 cylinders,gas,172956,clean,automatic,2GCEK13J181330188,4wd,,pickup,black,,ak,2021-04-30T13:03:50-0800
7315022919,13995,2014,mini,paceman,,4 cylinders,gas,88215,clean,manual,WMWSS7C58EWN70493,,,other,red,,ak,2021-04-30T13:03:45-0800
7315022866,17995,2013,ram,1500 quad cab,,8 cylinders,gas,126959,clean,automatic,1C6RR7FT3DS569000,4wd,,pickup,red,,ak,2021-04-30T13:03:39-0800
7315022775,10995,2013,chevrolet,equinox,,4 cylinders,gas,107056,clean,automatic,2GNALPEK6D6352972,fwd,,SUV,custom,,ak,2021-04-30T13:03:29-0800
7315022686,13995,2014,cadillac,ats,,6 cylinders,other,110697,clean,automatic,1G6AH5S30E0122885,,,sedan,custom,,ak,2021-04-30T13:03:20-0800
7315022630,6995,2001,audi,tt,,4 cylinders,gas,116000,clean,manual,TRUWT28N811004179,,,other,custom,,ak,2021-04-30T13:03:14-0800
7315018400,24995,2013,chevrolet,silverado,,,other,117794,clean,automatic,1GCRKSE72DZ326838,4wd,,pickup,black,,ak,2021-04-30T12:55:49-0800
7315009986,34995,2018,bmw,430i,,,gas,21297,clean,automatic,WBA4J3C5XJBG90837,,compact,sedan,black,,ak,2021-04-30T12:40:39-0800
7315008484,26995,2014,dodge,durango limited awd,excellent,6 cylinders,gas,49479,clean,automatic,1C4RDJDGXEC977242,4wd,,SUV,grey,,ak,2021-04-30T12:38:01-0800
7314998866,18995,2018,jeep,renegade,,,gas,30701,clean,automatic,ZACCJBAB1JPH28296,,,SUV,red,,ak,2021-04-30T12:20:56-0800
7314992435,66840,2019,ram,1500,,,gas,,clean,automatic,1C6SRFPT7KN512563,4wd,,pickup,,,ak,2021-04-30T12:09:47-0800
